103006;+++---2101-+--+000--+0010----;0(2)0(2)0(4)0(5)0(4)0(3);11;31
109002;+--+--1011-+-++001-++1021---+;0(2)1(2)1(4)0(5)0(4)1(3);19;43
105001;+-+-+-1002----+000-+-1000----;0(2)0(2)0(4)0(5)0(4)0(3);9;25
109005;--+---1102++-+-000-++1221-+++;1(2)2(2)1(4)0(5)0(4)0(3);23;47
110001;--+-++2111+-+-+101-+-1120-++-;2(2)0(2)1(4)0(5)0(4)0(3);23;47
109002;++-++-0001-----000--+0110---+;0(2)0(2)0(4)0(5)0(4)0(3);9;25
101004;+-+---1122-+---000+++2121-+-+;0(2)0(2)0(4)0(5)0(4)0(3);20;44
110001;+-+---0011-----000---0200----;0(2)0(2)0(4)0(5)0(4)0(3);6;17
105001;+-+-++1122+++--001+++2222--++;0(2)1(2)3(4)0(5)0(4)1(3);32;57
101006;+-+--+2001-----001-++1220--+-;0(2)0(2)0(4)0(5)0(4)0(3);15;39
101015;+-++++2122++++-122+-+2222++++;0(2)0(2)3(4)0(5)3(4)1(3);42;68
101018;++---+1000-----011---0010--+-;2(2)2(2)2(4)4(5)0(4)1(3);19;43
113014;+-++++1222+++++222+++2222++++;2(2)0(2)4(4)5(5)2(4)3(3);54;83
104002;++++++2201++-++022+++2222++++;2(2)0(2)4(4)0(5)0(4)0(3);40;66
106002;++--+-0001-----202-+-2202+++-;2(2)0(2)2(4)3(5)0(4)0(3);25;50
101016;++++++2222+++++220+++2222++++;2(2)2(2)4(4)4(5)4(4)3(3);57;92
101014;-+++++2222+++++220-++2221+-+-;2(2)2(2)4(4)0(5)0(4)1(3);42;68
101012;+-+++-0222+++++222+++2222++++;2(2)2(2)3(4)5(5)4(4)3(3);55;86
110001;+-+-+-0002---++000+-+1120----;0(2)0(2)0(4)0(5)0(4)0(3);13;36
109001;--+---2220--+++100++-2120+---;2(2)0(2)0(4)3(5)1(4)0(3);25;50
101003;+-+-+-1111+--+-220-++2020-+++;0(2)0(2)0(4)1(5)0(4)1(3);24;49
